TMDT,F12_F,F12_T
8/5/2021 8:55,1.284923,0.03174603
8/5/2021 9:00,1.295262,0.03296703
8/5/2021 9:05,1.287877,0.03174603
8/5/2021 9:10,1.291569,0.03174603
8/5/2021 9:15,1.298954,0.03174603
8/5/2021 9:20,1.290831,0.03296703
8/5/2021 9:25,1.300431,0.03174603
8/5/2021 9:30,1.293785,0.03174603
8/5/2021 9:35,1.2864,0.03174603
8/5/2021 9:40,1.295262,0.03174603
8/5/2021 9:45,1.295262,0.03174603
8/5/2021 9:50,1.290092,0.03174603
8/5/2021 9:55,1.287877,0.03174603
8/5/2021 10:00,1.2768,0.03296703
8/5/2021 10:05,1.287138,0.03174603
8/5/2021 10:10,1.293785,0.03174603
8/5/2021 10:15,1.285661,0.03174603
8/5/2021 10:20,1.311508,0.03174603
8/5/2021 10:25,1.318154,0.03174603
8/5/2021 10:30,1.295262,0.03174603
8/5/2021 10:35,1.311508,0.03174603
8/5/2021 10:40,1.308554,0.03174603
8/5/2021 10:45,1.310769,0.03174603
8/5/2021 10:50,1.321108,0.03174603
8/5/2021 10:55,1.300431,0.03174603
8/5/2021 11:00,1.303385,0.03174603
8/5/2021 11:05,1.307815,0.03174603
8/5/2021 11:10,1.293785,0.03174603
8/5/2021 11:15,1.317415,0.03174603
8/5/2021 11:20,1.308554,0.03174603
8/5/2021 11:25,1.296739,0.03174603
8/5/2021 11:30,1.307077,0.03174603
8/5/2021 11:35,1.289354,0.03174603
8/5/2021 11:40,1.300431,0.03174603
8/5/2021 11:45,1.301169,0.03174603
8/5/2021 11:50,1.290831,0.03174603
8/5/2021 11:55,1.284185,0.03174603
8/5/2021 12:00,1.312246,0.03174603
8/5/2021 12:05,1.300431,0.03174603
8/5/2021 12:10,1.289354,0.03174603
8/5/2021 12:15,1.301908,0.03174603
8/5/2021 12:20,1.298954,0.03174603
8/5/2021 12:25,1.287138,0.03174603
8/5/2021 12:30,1.301908,0.03174603
8/5/2021 12:35,1.288615,0.03174603
8/5/2021 12:40,1.290831,0.03174603
8/5/2021 12:45,1.291569,0.03174603
8/5/2021 12:50,1.279015,0.03174603
8/5/2021 12:55,1.290831,0.03174603
8/5/2021 13:00,1.293046,0.03174603
8/5/2021 13:05,1.281231,0.03174603
8/5/2021 13:10,1.296,0.03296703
8/5/2021 13:15,1.298215,0.03296703
8/5/2021 13:20,1.290831,0.03296703
8/5/2021 13:25,1.299692,0.03296703
8/5/2021 13:30,1.294523,0.03296703
8/5/2021 13:35,1.304861,0.03296703
8/5/2021 13:40,1.207385,0.03296703
8/5/2021 13:45,1.207385,0.03296703
8/5/2021 13:50,1.208123,0.03296703
8/5/2021 13:55,1.215508,0.03296703
8/5/2021 14:00,1.208123,0.03296703
8/5/2021 14:05,1.197785,0.03296703
8/5/2021 14:10,1.199262,0.03296703
8/5/2021 14:15,1.202954,0.03296703
8/5/2021 14:20,1.2096,0.03296703
8/5/2021 14:25,1.201477,0.03296703
8/5/2021 14:30,1.202954,0.03296703
8/5/2021 14:35,1.205908,0.03296703
8/5/2021 14:40,1.204431,0.03296703
8/5/2021 14:45,1.212554,0.03296703
8/5/2021 14:50,1.204431,0.03296703
8/5/2021 14:55,1.2,0.03296703
8/5/2021 15:00,1.202215,0.03296703
8/5/2021 15:05,1.201477,0.03296703
8/5/2021 15:10,1.193354,0.03296703
8/5/2021 15:15,1.208862,0.03296703
8/5/2021 15:20,1.205908,0.03296703
8/5/2021 15:25,1.196308,0.03296703
8/5/2021 15:30,1.196308,0.03296703
8/5/2021 15:35,1.194092,0.03296703
8/5/2021 15:40,1.193354,0.03296703
8/5/2021 15:45,1.204431,0.03296703
8/5/2021 15:50,1.197785,0.03296703
8/5/2021 15:55,1.196308,0.03296703
8/5/2021 16:00,1.184492,0.03296703
8/5/2021 16:05,1.197785,0.03296703
8/5/2021 16:10,1.197785,0.03296703
8/5/2021 16:15,1.183754,0.03296703
8/5/2021 16:20,1.199262,0.03296703
8/5/2021 16:25,1.197785,0.03296703
8/5/2021 16:30,1.192615,0.03296703
8/5/2021 16:35,1.199262,0.03296703
8/5/2021 16:40,1.164554,0.03296703
8/5/2021 16:45,1.105477,0.03296703
8/5/2021 16:50,1.090708,0.03296703
8/5/2021 16:55,1.093662,0.03418804
8/5/2021 17:00,1.092923,0.03540904
8/5/2021 17:05,1.091446,0.03540904
8/5/2021 17:10,1.089231,0.03540904
8/5/2021 17:15,1.086277,0.03540904
8/5/2021 17:20,1.081846,0.03540904
8/5/2021 17:25,1.008,0.03540904
8/5/2021 17:30,1.002092,0.03540904
8/5/2021 17:35,1.005046,0.03540904
8/5/2021 17:40,0.9976615,0.03540904
8/5/2021 17:45,0.9961846,0.03540904
8/5/2021 17:50,0.9998769,0.03540904
8/5/2021 17:55,1.004308,0.03540904
8/5/2021 18:00,0.9961846,0.03540904
8/5/2021 18:05,1.009477,0.03540904
8/5/2021 18:10,0.9902769,0.03540904
8/5/2021 18:15,0.9947076,0.03540904
8/5/2021 18:20,1.000615,0.03540904
8/5/2021 18:25,0.9998769,0.03540904
8/5/2021 18:30,1.002092,0.03540904
8/5/2021 18:35,0.9924923,0.03540904
8/5/2021 18:40,0.9917538,0.03540904
8/5/2021 18:45,0.9991384,0.03540904
8/5/2021 18:50,0.9843692,0.03540904
8/5/2021 18:55,0.9924923,0.03540904
8/5/2021 19:00,0.9902769,0.03540904
8/5/2021 19:05,0.9821538,0.03540904
8/5/2021 19:10,0.9806769,0.03540904
8/5/2021 19:15,0.9895384,0.03540904
8/5/2021 19:20,0.9755077,0.03540904
8/5/2021 19:25,0.9777231,0.03540904
8/5/2021 19:30,0.9917538,0.03540904
8/5/2021 19:35,0.996923,0.03540904
8/5/2021 19:40,0.9895384,0.03540904
8/5/2021 19:45,0.9961846,0.03540904
8/5/2021 19:50,0.987323,0.03540904
8/5/2021 19:55,1.002092,0.03540904
8/5/2021 20:00,1.004308,0.03540904
8/5/2021 20:05,1.000615,0.03540904
8/5/2021 20:10,1.008,0.03540904
8/5/2021 20:15,1.008738,0.03540904
8/5/2021 20:20,1.011692,0.03540904
8/5/2021 20:25,1.010954,0.03540904
8/5/2021 20:30,1.010954,0.03540904
8/5/2021 20:35,1.0944,0.03540904
8/5/2021 20:40,1.095138,0.03540904
8/5/2021 20:45,1.088492,0.03540904
8/5/2021 20:50,1.104,0.03540904
8/5/2021 20:55,1.104738,0.03540904
8/5/2021 21:00,1.104,0.03540904
8/5/2021 21:05,1.112862,0.03540904
8/5/2021 21:10,1.104,0.03540904
8/5/2021 21:15,1.101046,0.03540904
8/5/2021 21:20,1.098831,0.03540904
8/5/2021 21:25,1.111385,0.03540904
8/5/2021 21:30,1.106215,0.03540904
8/5/2021 21:35,1.101785,0.03418804
8/5/2021 21:40,1.241354,0.03418804
8/5/2021 21:45,1.220677,0.03540904
8/5/2021 21:50,1.228062,0.03418804
8/5/2021 21:55,1.220677,0.03418804
8/5/2021 22:00,1.211077,0.03418804
8/5/2021 22:05,1.216985,0.03418804
8/5/2021 22:10,1.218462,0.03418804
8/5/2021 22:15,1.216985,0.03418804
8/5/2021 22:20,1.211077,0.03418804
8/5/2021 22:25,1.215508,0.03418804
8/5/2021 22:30,1.197046,0.03418804
8/5/2021 22:35,1.198523,0.03418804
8/5/2021 22:40,1.202215,0.03418804
8/5/2021 22:45,1.205169,0.03418804
8/5/2021 22:50,1.192615,0.03418804
8/5/2021 22:55,1.195569,0.03418804
8/5/2021 23:00,1.193354,0.03418804
8/5/2021 23:05,1.182277,0.03418804
8/5/2021 23:10,1.194092,0.03418804
8/5/2021 23:15,1.185231,0.03418804
8/5/2021 23:20,1.181538,0.03418804
8/5/2021 23:25,1.196308,0.03418804
8/5/2021 23:30,1.180062,0.03418804
8/5/2021 23:35,1.177108,0.03418804
8/5/2021 23:40,1.177846,0.03296703
8/5/2021 23:45,1.218462,0.03418804
8/5/2021 23:50,1.213292,0.03418804
8/5/2021 23:55,1.222154,0.03418804
8/6/2021 0:00,1.197046,0.03296703
8/6/2021 0:05,1.210338,0.03418804
8/6/2021 0:10,1.188923,0.03418804
8/6/2021 0:15,1.193354,0.03418804
8/6/2021 0:20,1.194092,0.03418804
8/6/2021 0:25,1.198523,0.03418804
8/6/2021 0:30,1.185231,0.03418804
8/6/2021 0:35,1.202954,0.03296703
8/6/2021 0:40,1.2,0.03418804
8/6/2021 0:45,1.189662,0.03418804
8/6/2021 0:50,1.2,0.03418804
8/6/2021 0:55,1.188923,0.03418804
8/6/2021 1:00,1.199262,0.03418804
8/6/2021 1:05,1.203692,0.03418804
8/6/2021 1:10,1.207385,0.03418804
8/6/2021 1:15,1.197046,0.03418804
8/6/2021 1:20,1.202954,0.03418804
8/6/2021 1:25,1.196308,0.03418804
8/6/2021 1:30,1.182277,0.03418804
8/6/2021 1:35,1.196308,0.03418804
8/6/2021 1:40,1.197785,0.03418804
8/6/2021 1:45,1.196308,0.03418804
8/6/2021 1:50,1.191877,0.03418804
8/6/2021 1:55,1.195569,0.03418804
8/6/2021 2:00,1.201477,0.03418804
8/6/2021 2:05,1.201477,0.03418804
8/6/2021 2:10,1.205908,0.03540904
8/6/2021 2:15,1.185231,0.03418804
8/6/2021 2:20,1.189662,0.03418804
8/6/2021 2:25,1.188923,0.03418804
8/6/2021 2:30,1.185231,0.03418804
8/6/2021 2:35,1.210338,0.03540904
8/6/2021 2:40,1.203692,0.03540904
8/6/2021 2:45,1.200738,0.03418804
8/6/2021 2:50,1.185231,0.03540904
8/6/2021 2:55,1.188184,0.03540904
8/6/2021 3:00,1.186708,0.03418804
8/6/2021 3:05,1.201477,0.03418804
8/6/2021 3:10,1.198523,0.03418804
8/6/2021 3:15,1.1904,0.03540904
8/6/2021 3:20,1.214031,0.03540904
8/6/2021 3:25,1.194831,0.03418804
8/6/2021 3:30,1.196308,0.03540904
8/6/2021 3:35,1.202215,0.03418804
8/6/2021 3:40,1.194831,0.03418804
8/6/2021 3:45,1.189662,0.03540904
8/6/2021 3:50,1.189662,0.03540904
8/6/2021 3:55,1.183754,0.03540904
8/6/2021 4:00,1.202215,0.03540904
8/6/2021 4:05,1.194092,0.03540904
8/6/2021 4:10,1.194831,0.03540904
8/6/2021 4:15,1.188923,0.03418804
8/6/2021 4:20,1.194831,0.03418804
8/6/2021 4:25,1.211077,0.03540904
8/6/2021 4:30,1.215508,0.03540904
8/6/2021 4:35,1.200738,0.03540904
8/6/2021 4:40,1.2,0.03540904
